First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
10,16,232,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,238,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,24,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,242,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,243,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,244,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,25,15,3,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,251,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,26,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,266,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,267,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,268,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,270,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,276,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,28,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,29,16,12,4, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,298,15,1,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,3,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,30,16,8,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,306,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,308,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,311,15,2,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,323,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,327,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,33,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,334,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,338,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,341,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,346,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,348,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,351,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
